x,t,u
0.4,1.2,0.510912066047233
0.5,1.2,0.500256499386266
0.6,1.2,0.487560928810188
0.7,1.2,0.473008038110482
0.8,1.2,0.456801756350483
0.9,1.2,0.439162155158868
1,1.2,0.420320161419807
1.1,1.2,0.400512272919653
1.2,1.2,0.379975452057283
1.3,1.2,0.358942352779986
1.4,1.2,0.337637010242162
1.5,1.2,0.316271093267768
1.6,1.2,0.295040788524871
1.7,1.2,0.274124354266753
1.8,1.2,0.253680352194558
1.9,1.2,0.233846539766578
2,1.2,0.214739383069113
2.1,1.2,0.196454132749999
2.2,1.2,0.179065392722318
2.3,1.2,0.162628103287545
2.4,1.2,0.147178856668754
2.5,1.2,0.132737463164445
2.6,1.2,0.119308689591387
2.7,1.2,0.106884097681313
2.8,1.2,0.0954439179263281
2.9,1.2,0.0849589033626599
3,1.2,0.075392117340678
0.1,1.3,0.507509173177589
0.2,1.3,0.50424405184364
0.3,1.3,0.498852687678227
0.4,1.3,0.491409500554301
0.5,1.3,0.482016056881082
0.6,1.3,0.470798568957344
0.7,1.3,0.457904845048322
0.8,1.3,0.443500801833084
0.9,1.3,0.427766663166107
1,1.3,0.410892975299853
1.1,1.3,0.393076568821604
1.2,1.3,0.374516591933549
1.3,1.3,0.355410729033122
1.4,1.3,0.335951703758008
1.5,1.3,0.316324147834479
1.6,1.3,0.29670189736762
1.7,1.3,0.277245757785037
1.8,1.3,0.258101758554282
1.9,1.3,0.2393998999595
2,1.3,0.221253377384009
2.1,1.3,0.203758254240009
2.2,1.3,0.186993543245009
2.3,1.3,0.171021647302278
2.4,1.3,0.155889105761021
2.5,1.3,0.14162758912899
2.6,1.3,0.128255085093414
2.7,1.3,0.115777220608041
2.8,1.3,0.104188668415341
2.9,1.3,0.0934745912715417
3,1.3,0.0836120829186308
0.1,1.4,0.4882453029461
0.2,1.4,0.485349519107938
0.3,1.4,0.480564281996206
0.4,1.4,0.473950204316272
0.5,1.4,0.465590197012536
0.6,1.4,0.455587603721945
0.7,1.4,0.444063913907814
0.8,1.4,0.431156130979632
0.9,1.4,0.417013880966105
1,1.4,0.401796352732578
1.1,1.4,0.385669162242323
1.2,1.4,0.36880123109414
1.3,1.4,0.351361763862017
1.4,1.4,0.333517400112782
1.5,1.4,0.315429605999026
1.6,1.4,0.297252357701723
1.7,1.4,0.279130155437832
1.8,1.4,0.261196392939219
1.9,1.4,0.243572093879101
2,1.4,0.226365014210942
2.1,1.4,0.209669098225477
2.2,1.4,0.193564266638558
2.3,1.4,0.178116507390995
2.4,1.4,0.163378234152303
2.5,1.4,0.149388873752739
2.6,1.4,0.13617564181555
2.7,1.4,0.123754465550575
2.8,1.4,0.112131013779853
2.9,1.4,0.101301796545583
3,1.4,0.0912552998387162
0.1,1.5,0.471007619380542
0.2,1.5,0.46841684719634
0.3,1.5,0.464132807820978
0.4,1.5,0.458205621028094
0.5,1.5,0.450703975906391
0.6,1.5,0.441713708674074
0.7,1.5,0.43133605193697
0.8,1.5,0.419685609002782
0.9,1.5,0.406888113870909
1,1.5,0.393078042029516
1.1,1.5,0.378396139117817
1.2,1.5,0.362986933893667
1.3,1.5,0.34699629894947
1.4,1.5,0.330569117514018
1.5,1.5,0.31384710781869
1.6,1.5,0.296966848305329
1.7,1.5,0.280058037852328
1.8,1.5,0.263242015640776
1.9,1.5,0.246630555699381
2,1.5,0.230324941940013
2.1,1.5,0.214415320953553
2.2,1.5,0.1989803222399
2.3,1.5,0.184086929086381
2.4,1.5,0.169790578102401
2.5,1.5,0.156135461513431
2.6,1.5,0.14315500370053
2.7,1.5,0.130872482076127
2.8,1.5,0.119301762104279
