x,t,u
3,1.4,0.0955435164614962
0.1,1.5,0.459775372986924
0.2,1.5,0.45748723667292
0.3,1.5,0.453699056290347
0.4,1.5,0.44844828194691
0.5,1.5,0.441786284385095
0.6,1.5,0.433777555907532
0.7,1.5,0.424498797955865
0.8,1.5,0.414037805440829
0.9,1.5,0.402492093840375
1,1.5,0.389967313364857
1.1,1.5,0.376575563990016
1.2,1.5,0.362433714803936
1.3,1.5,0.34766176675176
1.4,1.5,0.332381243683216
1.5,1.5,0.316713592229202
1.6,1.5,0.300778605278874
1.7,1.5,0.284692917952985
1.8,1.5,0.268568631565909
1.9,1.5,0.252512101758381
2,1.5,0.236622901550105
2.1,1.5,0.220992955495061
2.2,1.5,0.205705840427434
2.3,1.5,0.190836253804751
2.4,1.5,0.176449653689894
2.5,1.5,0.162602071610197
2.6,1.5,0.14934009289245
2.7,1.5,0.136700992385142
2.8,1.5,0.124713009176347
2.9,1.5,0.113395742224183
3,1.5,0.102760648658817
0.1,1.6,0.44524487967029
0.2,1.6,0.443166823428882
0.3,1.6,0.439724728607236
0.4,1.6,0.434950362209831
0.5,1.6,0.428887635083389
0.6,1.6,0.421591909012354
0.7,1.6,0.413129083036388
0.8,1.6,0.403574548639895
0.9,1.6,0.393012081968633
1,1.6,0.381532681798086
1.1,1.6,0.369233324213509
1.2,1.6,0.356215618484869
1.3,1.6,0.342584392358512
1.4,1.6,0.328446266369873
1.5,1.6,0.313908273304036
1.6,1.6,0.29907655194948
1.7,1.6,0.284055120304607
1.8,1.6,0.268944728191244
1.9,1.6,0.2538417988234
2,1.6,0.238837479269309
2.1,1.6,0.224016821105825
2.2,1.6,0.209458105077079
2.3,1.6,0.195232313533316
2.4,1.6,0.181402747427441
2.5,1.6,0.168024782033916
2.6,1.6,0.155145755363184
2.7,1.6,0.14280498297616
2.8,1.6,0.131033891408827
2.9,1.6,0.119856260031359
3,1.6,0.109288558828527
0.1,1.7,0.432009071990351
0.2,1.7,0.430110379789607
0.3,1.7,0.426964437441246
0.4,1.7,0.422598708435445
0.5,1.7,0.417051009403804
0.6,1.7,0.41036898418084
0.7,1.7,0.402609473896504
0.8,1.7,0.393837750204718
0.9,1.7,0.384126599100665
1,1.7,0.373555284922304
1.1,1.7,0.362208448782817
1.2,1.7,0.350174985701254
1.3,1.7,0.337546916460685
1.4,1.7,0.324418251902832
1.5,1.7,0.31088385152877
1.6,1.7,0.297038295088373
1.7,1.7,0.282974797566073
1.8,1.7,0.268784195964555
1.9,1.7,0.254554025172181
2,1.7,0.240367689835809
2.1,1.7,0.226303735222131
2.2,1.7,0.212435221296976
2.3,1.7,0.198829206130817
2.4,1.7,0.185546344046271
2.5,1.7,0.172640600573142
2.6,1.7,0.160159082085064
2.7,1.7,0.148141974657653
2.8,1.7,0.136622584746851
2.9,1.7,0.125627473313789
3,1.7,0.115176674362577
0.1,1.8,0.41988609468058
0.2,1.8,0.418142691161713
0.3,1.8,0.415253000064884
0.4,1.8,0.411240808150222
0.5,1.8,0.406139006204355
0.6,1.8,0.399989129809923
0.7,1.8,0.392840767602678
0.8,1.8,0.384750877544119
0.9,1.8,0.375783040365707
1,1.8,0.366006654514611
1.1,1.8,0.355496064543103
1.2,1.8,0.344329624665728
1.3,1.8,0.332588718740254
1.4,1.8,0.320356768587978
1.5,1.8,0.30771825758894
1.6,1.8,0.294757783868271
